Timestamp,Input (SP),Response (PV)
368.0,1.71,1.708497592799229
369.0,1.71,1.7049705871565035
370.0,1.71,1.7012999486310458
371.0,1.71,1.7137619851085444
372.0,1.71,1.7786784773970035
373.0,1.71,1.8125461732712813
374.0,1.71,1.7256893838747784
375.0,1.71,1.6761766778658056
376.0,1.71,1.5874660571881198
377.0,1.71,1.5886072630955437
378.0,1.71,1.5557179784718265
379.0,1.71,1.6793761047443863
380.0,1.71,1.7196711405833736
381.0,1.71,1.7050876621554674
382.0,1.71,1.6915249764797746
383.0,1.71,1.7725251988733588
384.0,1.71,1.8001146873914062
385.0,1.71,1.6714526359722377
386.0,1.71,1.7346677343134138
387.0,1.71,1.7518116364888487
388.0,1.71,1.7301297620936404
389.0,1.71,1.6898369427847055
390.0,1.71,1.778263334495888
391.0,1.71,1.6514852538971763
392.0,1.71,1.7031270900739706
393.0,1.71,1.7014827035504423
394.0,1.71,1.765014172601051
395.0,1.71,1.7245001683634573
396.0,1.71,1.6650193809435516
397.0,1.71,1.6874517290165334
398.0,1.71,1.6831187995116887
399.0,1.71,1.7237751460280875
400.0,1.71,1.6867978551870015
401.0,1.71,1.7437680465150207
402.0,1.71,1.7246537252629648
403.0,1.71,1.753271817611363
404.0,1.71,1.7412699388172073
405.0,1.71,1.7138332136090753
406.0,1.71,1.735012692878209
407.0,1.71,1.785589278498879
408.0,1.71,1.6960753657291008
409.0,1.71,1.703801265928183
410.0,1.71,1.6862632621995794
411.0,1.71,1.7673986185461927
412.0,1.71,1.713889906115758
413.0,1.71,1.6458460120797116
414.0,1.71,1.7583542383327604
415.0,1.71,1.7683691074463803
416.0,1.71,1.7415249361940632
417.0,1.71,1.720295216597986
418.0,1.71,1.8279457375316923
419.0,1.71,1.7362704248891303
420.0,1.71,1.69722393514557
421.0,1.71,1.6538085020953457
422.0,1.71,1.7545767734337627
423.0,1.71,1.7180451219211867
424.0,1.71,1.784201885487736
425.0,1.71,1.693970690867656
426.0,1.71,1.7423435402669791
427.0,1.71,1.6833467158209994
428.0,1.71,1.653441084234964
429.0,1.71,1.752512813606179
430.0,1.71,1.6851473208613261
431.0,1.71,1.684077821663723
432.0,1.71,1.7010022160837208
433.0,1.71,1.6646870762420962
434.0,1.71,1.6223192181587378
435.0,1.71,1.6956377511038359
436.0,1.71,1.6430492280945304
437.0,1.71,1.7218708716369906
438.0,1.71,1.6967076234161516
439.0,1.71,1.7026227993843321
440.0,1.71,1.643607506623487
441.0,1.71,1.614457180250982
442.0,1.71,1.7308673081819181
443.0,1.71,1.6349726570307956
444.0,1.71,1.6981803983643122
445.0,1.71,1.6327942532612716
446.0,1.71,1.6555479604060261
447.0,1.71,1.653346102604397
448.0,1.71,1.6539912260586074
449.0,1.71,1.693202676000946
450.0,1.71,1.7089835677414993
451.0,1.71,1.6664317258499826
452.0,1.71,1.7366552605466572
453.0,1.71,1.5744508869878007
454.0,1.71,1.6869427774899892
455.0,1.71,1.6703964038789125
456.0,1.71,1.7326173537986191
457.0,1.71,1.6521612159996053
458.0,1.71,1.6745289678021475
459.0,1.71,1.7146623647160661
460.0,1.71,1.7766994282142707
461.0,1.71,1.732244951702327
462.0,1.71,1.7703993061484218
463.0,1.71,1.7534214715109828
464.0,1.71,1.665664096928105
465.0,1.71,1.7218081136037624
466.0,1.71,1.7551733865083319
